"id","time","type"
"P0149",1335-02-02,"summons"
"P0081",1335-02-02,"summons"
"P0051",1335-02-02,"summons"
"P0039",1335-02-02,"summons"
"P0040",1335-02-02,"summons"
"P0041",1335-02-02,"summons"
"P0083",1335-02-02,"summons"
"P0163",1335-02-02,"summons"
"P0105",1335-02-02,"summons"
"P0032",1335-02-02,"summons"
"P0116",1335-02-02,"summons"
"P0055",1335-02-02,"summons"
"P0177",1335-02-06,"summons"
"P0207",1335-02-06,"summons"
"P0113",1335-02-06,"summons"
"P0222",1335-02-06,"summons"
"P0105",1335-02-06,"summons"
"P0196",1335-02-06,"summons"
"P0202",1335-02-06,"summons"
"P0130",1335-02-06,"summons"
"P0214",1335-02-06,"summons"
"P0215",1335-02-06,"summons"
"P0220",1335-02-06,"summons"
"P0043",1335-02-06,"summons"
"P0154",1335-02-06,"summons"
"P0249",1335-02-08,"summons"
"P0226",1335-02-08,"summons"
"P0224",1335-02-08,"summons"
"P0229",1335-02-19,"summons"
"P0247",1335-02-19,"summons"
"P0105",1335-02-19,"summons"
"P0106",1335-02-19,"summons"
"P0053",1335-02-04,"torture"
"P0196",1335-02-06,"torture"
"P0041",1335-02-07,"torture"
"P0113",1335-02-18,"torture"
"P0002",1335-01-20,"deposition"
"P0013",1335-01-20,"deposition"
"P0017",1335-01-21,"deposition"
"P0023",1335-01-21,"deposition"
"P0031",1335-01-21,"deposition"
"P0032",1335-02-04,"deposition"
"P0033",1335-01-31,"deposition"
"P0035",1335-01-22,"deposition"
"P0038",1335-01-21,"deposition"
"P0039",1335-02-03,"deposition"
"P0041",1335-02-07,"deposition"
"P0042",1335-02-13,"deposition"
"P0043",1335-02-06,"deposition"
"P0043",1335-02-10,"deposition"
"P0051",1335-02-03,"deposition"
"P0051",1335-02-09,"deposition"
"P0053",1335-02-04,"deposition"
"P0053",1335-02-05,"deposition"
"P0055",1335-02-03,"deposition"
"P0055",1335-02-09,"deposition"
"P0057",1335-01-23,"deposition"
"P0065",1335-02-06,"deposition"
"P0072",1335-01-23,"deposition"
"P0075",1335-01-28,"deposition"
"P0076",1335-01-28,"deposition"
"P0076",1335-01-31,"deposition"
"P0077",1335-02-01,"deposition"
"P0079",1335-02-01,"deposition"
"P0080",1335-01-28,"deposition"
"P0081",1335-02-03,"deposition"
"P0083",1335-02-03,"deposition"
"P0083",1335-02-16,"deposition"
"P0090",1335-01-28,"deposition"
"P0090",1335-01-29,"deposition"
"P0098",1335-01-30,"deposition"
"P0110",1335-01-30,"deposition"
"P0111",1335-01-30,"deposition"
"P0113",1335-02-06,"deposition"
"P0113",1335-02-18,"deposition"
"P0116",1335-02-03,"deposition"
"P0116",1335-02-19,"deposition"
"P0117",1335-01-30,"deposition"
"P0121",1335-01-30,"deposition"
"P0126",1335-01-31,"deposition"
"P0127",1335-02-01,"deposition"
"P0129",1335-02-01,"deposition"
"P0130",1335-02-06,"deposition"
"P0131",1335-01-31,"deposition"
"P0132",1335-01-31,"deposition"
"P0134",1335-02-13,"deposition"
"P0134",1335-02-18,"deposition"
"P0137",1335-02-11,"deposition"
"P0141",1335-01-31,"deposition"
"P0149",1335-02-03,"deposition"
"P0151",1335-02-10,"deposition"
"P0153",1335-02-01,"deposition"
"P0154",1335-02-06,"deposition"
"P0154",1335-02-11,"deposition"
"P0155",1335-02-10,"deposition"
"P0156",1335-02-10,"deposition"
"P0157",1335-02-10,"deposition"
"P0159",1335-02-01,"deposition"
"P0162",1335-02-16,"deposition"
"P0163",1335-02-03,"deposition"
"P0163",1335-02-16,"deposition"
"P0177",1335-02-06,"deposition"
"P0181",1335-02-10,"deposition"
"P0196",1335-02-06,"deposition"
"P0196",1335-02-07,"deposition"
"P0202",1335-02-06,"deposition"
"P0207",1335-02-06,"deposition"
"P0207",1335-02-19,"deposition"
"P0208",1335-02-08,"deposition"
"P0212",1335-02-16,"deposition"
"P0214",1335-02-06,"deposition"
"P0214",1335-02-11,"deposition"
"P0215",1335-02-06,"deposition"
"P0215",1335-02-11,"deposition"
"P0216",1335-02-15,"deposition"
"P0217",1335-02-15,"deposition"
"P0220",1335-02-06,"deposition"
"P0220",1335-02-11,"deposition"
"P0222",1335-02-06,"deposition"
"P0222",1335-02-11,"deposition"
"P0224",1335-02-09,"deposition"
"P0225",1335-02-14,"deposition"
"P0226",1335-02-08,"deposition"
"P0226",1335-02-12,"deposition"
"P0228",1335-02-14,"deposition"
"P0233",1335-02-11,"deposition"
"P0234",1335-02-14,"deposition"
"P0242",1335-02-14,"deposition"
"P0248",1335-02-10,"deposition"
"P0249",1335-02-08,"deposition"
"P0249",1335-02-12,"deposition"
"P0269",1335-02-21,"deposition"
"P0273",1335-02-14,"deposition"
"P0274",1335-02-10,"deposition"
"P0275",1335-02-16,"deposition"
"P0278",1335-02-14,"deposition"
"P0279",1335-02-14,"deposition"
"P0280",1335-02-09,"deposition"
"P0287",1335-02-19,"deposition"
"P0290",1335-02-23,"deposition"
"P0292",1335-02-14,"deposition"
"P0295",1335-02-16,"deposition"
"P0301",1335-02-11,"deposition"
"P0303",1335-02-14,"deposition"
"P0304",1335-02-16,"deposition"
"P0307",1335-02-14,"deposition"
"P0314",1335-02-10,"deposition"
"P0318",1335-02-17,"deposition"
"P0322",1335-02-16,"deposition"
"P0323",1335-02-16,"deposition"
"P0327",1335-02-14,"deposition"
"P0329",1335-02-11,"deposition"
"P0330",1335-02-17,"deposition"
"P0333",1335-02-17,"deposition"
"P0337",1335-02-18,"deposition"
"P0338",1335-02-14,"deposition"
"P0346",1335-02-14,"deposition"
"P0351",1335-02-14,"deposition"
"P0368",1335-02-17,"deposition"
"P0372",1335-02-17,"deposition"
"P0385",1335-02-17,"deposition"
"P0387",1335-02-15,"deposition"
"P0389",1335-02-17,"deposition"
"P0391",1335-02-17,"deposition"
"P0395",1335-02-19,"deposition"
"P0400",1335-02-22,"deposition"
